activity_id,deal_id,rep_id,activity_type,activity_date,duration_mins,outcome,notes
A000931,D01065,R002,Demo,2024-11-09,120,No Response,Awaiting legal review
A000932,D00170,R003,Demo,2024-12-31,30,Negative,Awaiting legal review
A000933,D00212,R001,Call,2023-10-02,60,Neutral,Champion confirmed
A000934,D00039,R005,Demo,2024-05-23,15,Negative,
A000935,D00369,R003,Demo,2023-02-19,45,No Response,Champion confirmed
A000936,D00757,R003,Call,2024-10-02,60,No Response,Stakeholder meeting set
A000937,D00151,R002,Meeting,2024-12-12,45,No Response,Awaiting legal review
A000938,D01135,R003,Meeting,2023-04-19,60,Positive,
A000939,D01071,R001,Demo,2023-07-25,90,Neutral,Decision deferred
A000940,D01024,R005,Proposal Sent,2024-06-10,45,Negative,Sent pricing deck
A000941,D00737,R001,Demo,2024-12-13,60,Neutral,Stakeholder meeting set
A000942,D00069,R005,Meeting,2024-06-13,90,Positive,Awaiting legal review
A000943,D00299,R002,Meeting,2024-08-24,90,No Response,Sent pricing deck
A000944,D00944,R003,Follow-up,2024-12-06,15,No Response,Decision deferred
A000945,D00802,R002,Meeting,2024-06-27,60,Negative,Decision deferred
A000946,D00296,R001,Call,2024-12-16,120,Positive,Follow up scheduled
A000947,D00203,R001,Meeting,2024-02-05,90,Negative,Budget approved
A000948,D00061,R003,Demo,2024-05-02,30,Positive,Sent pricing deck
A000949,D00946,R003,Meeting,2024-05-06,120,Positive,Follow up scheduled
A000950,D00963,R003,Call,2024-06-30,30,Positive,
A000951,D01185,R003,Proposal Sent,2024-12-12,120,No Response,Follow up scheduled
A000952,D00331,R001,Demo,2024-12-22,60,Negative,
A000953,D00338,R001,Call,2024-07-03,45,Positive,Budget approved
A000954,D00639,R005,Follow-up,2023-07-18,15,Neutral,Champion confirmed
A000955,D00275,R002,Follow-up,2023-03-22,90,Neutral,Sent pricing deck
A000956,D01188,R004,Meeting,2023-04-19,90,Neutral,Decision deferred
A000957,D00319,R001,Call,2024-12-26,30,Neutral,Decision deferred
A000958,D00589,R004,Email,2024-12-30,90,Neutral,Budget approved
A000959,D00504,R002,Email,2023-02-27,120,No Response,
A000960,D00387,R001,Follow-up,2024-05-07,60,Positive,Champion confirmed
A000961,D00870,R005,Follow-up,2024-12-05,30,Neutral,Awaiting legal review
A000962,D00833,R005,Email,2024-10-04,15,Positive,Decision deferred
A000963,D01015,R001,Call,2024-11-01,15,Negative,Follow up scheduled
A000964,D00603,R001,Follow-up,2024-03-08,120,Neutral,Budget approved
A000965,D00691,R002,Meeting,2023-06-30,45,Negative,Champion confirmed
A000966,D00494,R002,Call,2023-07-07,60,Negative,Awaiting legal review
A000967,D00490,R005,Proposal Sent,2023-12-25,30,No Response,Awaiting legal review
A000968,D00721,R001,Follow-up,2024-12-14,120,Neutral,Champion confirmed
A000969,D01097,R002,Email,2024-05-30,45,Neutral,Budget approved
A000970,D00509,R002,Demo,2023-10-22,60,No Response,Decision deferred
A000971,D00390,R002,Proposal Sent,2024-10-19,45,No Response,Budget approved
A000972,D00295,R004,Follow-up,2024-11-19,15,Positive,Champion confirmed
A000973,D00796,R003,Demo,2024-05-04,90,Positive,Sent pricing deck
A000974,D00865,R002,Proposal Sent,2023-09-09,30,Positive,Follow up scheduled
A000975,D00549,R002,Email,2023-02-05,45,Positive,Sent pricing deck
A000976,D00649,R004,Demo,2023-04-01,90,Negative,Follow up scheduled
A000977,D00568,R004,Email,2024-10-25,30,No Response,Follow up scheduled
A000978,D00853,R002,Demo,2024-09-12,120,Positive,Budget approved
A000979,D00770,R001,Demo,2024-11-23,30,Positive,Awaiting legal review
A000980,D00445,R002,Proposal Sent,2024-07-07,45,Positive,Champion confirmed
A000981,D00363,R002,Demo,2023-10-28,30,Neutral,Sent pricing deck
A000982,D00123,R004,Proposal Sent,2024-05-27,120,Positive,Budget approved
A000983,D00742,R004,Demo,2023-09-04,45,Neutral,Champion confirmed
A000984,D00680,R005,Proposal Sent,2024-11-22,120,Positive,Awaiting legal review
A000985,D00420,R005,Demo,2023-09-04,60,Positive,Sent pricing deck
A000986,D00092,R001,Meeting,2024-04-25,90,Positive,Sent pricing deck
A000987,D00063,R003,Proposal Sent,2024-09-19,15,Positive,
A000988,D00512,R005,Follow-up,2023-06-13,15,Neutral,Champion confirmed
A000989,D01163,R002,Follow-up,2023-03-17,15,Neutral,Sent pricing deck
A000990,D00772,R002,Proposal Sent,2023-06-29,60,Neutral,Awaiting legal review
A000991,D00256,R001,Email,2024-05-16,90,Neutral,Awaiting legal review
A000992,D00135,R004,Demo,2023-10-09,90,Negative,Champion confirmed
A000993,D00875,R003,Call,2024-11-01,30,Neutral,
A000994,D00822,R001,Follow-up,2024-10-28,45,No Response,Stakeholder meeting set
A000995,D00088,R002,Call,2023-06-11,45,Positive,Stakeholder meeting set
A000996,D00988,R004,Proposal Sent,2023-09-21,15,Neutral,Awaiting legal review
A000997,D01153,R003,Meeting,2024-06-15,120,Positive,Stakeholder meeting set
A000998,D00823,R004,Demo,2024-08-03,30,No Response,Decision deferred
A000999,D01027,R002,Call,2024-10-13,60,Neutral,Decision deferred
A001000,D00974,R005,Meeting,2024-08-16,120,Neutral,Follow up scheduled
A001001,D00934,R002,Follow-up,2023-09-19,45,Neutral,Budget approved
A001002,D00121,R002,Meeting,2024-08-01,60,Neutral,Champion confirmed
A001003,D01062,R001,Call,2023-02-19,15,Positive,Stakeholder meeting set
A001004,D01008,R004,Call,2023-11-05,60,Positive,Awaiting legal review
A001005,D00925,R001,Proposal Sent,2023-05-29,90,Negative,Champion confirmed
A001006,D00645,R002,Demo,2023-03-11,15,Neutral,Follow up scheduled
A001007,D00714,R001,Demo,2024-09-21,30,No Response,Stakeholder meeting set
A001008,D00860,R002,Meeting,2024-12-02,15,No Response,Follow up scheduled
A001009,D00021,R005,Meeting,2024-12-15,30,No Response,Follow up scheduled
A001010,D00242,R002,Proposal Sent,2023-12-24,60,Positive,Follow up scheduled
A001011,D00455,R002,Meeting,2024-05-29,30,Neutral,Decision deferred
A001012,D00963,R003,Meeting,2024-08-07,60,Neutral,Sent pricing deck
A001013,D00621,R003,Proposal Sent,2023-10-14,45,Positive,Decision deferred
A001014,D00303,R002,Follow-up,2023-04-20,60,Neutral,Awaiting legal review
A001015,D00803,R004,Email,2024-09-25,90,Positive,
A001016,D00964,R004,Email,2024-11-03,30,Positive,Decision deferred
A001017,D00069,R005,Demo,2024-09-12,30,Positive,Budget approved
A001018,D01153,R003,Call,2024-07-06,120,No Response,Stakeholder meeting set
A001019,D00196,R001,Follow-up,2023-06-08,60,Negative,
A001020,D00140,R004,Email,2023-11-21,90,Negative,Awaiting legal review
A001021,D00283,R001,Follow-up,2024-12-08,90,Neutral,
A001022,D00312,R003,Meeting,2023-02-21,45,Negative,Awaiting legal review
A001023,D00746,R002,Meeting,2023-02-19,60,Negative,Awaiting legal review
A001024,D00277,R003,Email,2024-08-22,90,Neutral,Awaiting legal review
A001025,D00061,R003,Call,2024-04-12,30,Positive,Budget approved
A001026,D00052,R002,Email,2024-08-21,90,Negative,Decision deferred
A001027,D00153,R004,Demo,2023-04-25,30,No Response,Awaiting legal review
A001028,D00544,R003,Follow-up,2023-07-11,45,Positive,
A001029,D00567,R005,Call,2024-10-12,120,Positive,Sent pricing deck
A001030,D00622,R002,Email,2024-08-12,45,Positive,Follow up scheduled
A001031,D00314,R002,Email,2024-08-19,45,Neutral,
A001032,D00807,R003,Call,2024-11-05,60,Positive,Sent pricing deck
A001033,D00848,R004,Meeting,2023-10-20,120,Neutral,Sent pricing deck
A001034,D00097,R002,Demo,2024-02-18,15,Negative,Sent pricing deck
A001035,D00881,R002,Email,2023-02-25,60,Negative,Decision deferred
A001036,D00829,R002,Email,2024-08-06,15,Neutral,Decision deferred
A001037,D00137,R002,Demo,2023-02-21,90,Neutral,Champion confirmed
A001038,D01030,R004,Demo,2024-07-28,60,No Response,
A001039,D01011,R005,Proposal Sent,2023-08-08,30,Positive,Budget approved
A001040,D00109,R005,Proposal Sent,2023-07-11,120,Positive,
A001041,D00547,R005,Email,2024-12-24,90,Positive,Budget approved
A001042,D01063,R001,Meeting,2024-09-09,60,Neutral,Budget approved
A001043,D00662,R001,Call,2024-12-18,120,Neutral,Awaiting legal review
A001044,D00425,R001,Meeting,2024-12-21,45,Neutral,Champion confirmed
A001045,D00630,R004,Call,2024-04-10,15,No Response,Sent pricing deck
A001046,D00261,R001,Meeting,2023-10-31,120,Positive,Awaiting legal review
A001047,D00087,R003,Demo,2023-10-07,30,Negative,Decision deferred
A001048,D00465,R003,Meeting,2024-06-18,90,Positive,Decision deferred
A001049,D00076,R002,Follow-up,2024-12-27,30,Positive,Follow up scheduled
A001050,D00471,R002,Email,2024-06-08,120,No Response,Decision deferred
A001051,D00414,R004,Proposal Sent,2024-07-10,60,Neutral,Sent pricing deck
A001052,D00825,R002,Follow-up,2023-04-16,120,Positive,Follow up scheduled
A001053,D00895,R002,Email,2023-11-30,90,Positive,Stakeholder meeting set
A001054,D00726,R001,Call,2024-05-03,30,Neutral,Sent pricing deck
A001055,D00457,R005,Follow-up,2024-12-27,30,Negative,Champion confirmed
A001056,D00653,R004,Demo,2024-02-23,60,Negative,Champion confirmed
A001057,D00672,R003,Proposal Sent,2023-03-21,120,Negative,Champion confirmed
A001058,D00495,R004,Email,2024-08-03,15,No Response,Follow up scheduled
A001059,D01069,R005,Email,2023-07-25,90,Positive,Champion confirmed
A001060,D00597,R003,Proposal Sent,2023-09-20,60,Neutral,Follow up scheduled
A001061,D00450,R002,Demo,2024-12-04,90,No Response,Decision deferred
A001062,D00485,R003,Follow-up,2024-12-17,30,Positive,Budget approved
A001063,D00646,R004,Demo,2024-12-28,90,No Response,Decision deferred
A001064,D00620,R005,Follow-up,2023-05-09,15,Neutral,Champion confirmed
A001065,D01042,R004,Demo,2024-01-19,120,Positive,
A001066,D00662,R001,Meeting,2024-12-19,15,Positive,Awaiting legal review
A001067,D00758,R003,Call,2024-09-21,90,No Response,Follow up scheduled
A001068,D00289,R004,Email,2023-04-17,30,No Response,Awaiting legal review
A001069,D00721,R001,Email,2024-12-16,45,No Response,Budget approved
A001070,D00638,R005,Meeting,2024-04-14,120,No Response,
A001071,D00235,R002,Email,2024-02-03,45,No Response,Champion confirmed
A001072,D00416,R001,Email,2024-10-29,15,No Response,Champion confirmed
A001073,D00938,R001,Follow-up,2024-07-05,30,Positive,Awaiting legal review
A001074,D00499,R003,Call,2024-10-10,90,Neutral,Budget approved
A001075,D00974,R005,Email,2024-08-21,90,Neutral,Sent pricing deck
A001076,D00634,R003,Demo,2023-04-18,30,Neutral,Champion confirmed
A001077,D01020,R001,Meeting,2023-03-02,120,No Response,Follow up scheduled
A001078,D00115,R001,Follow-up,2024-01-26,15,Neutral,
A001079,D00932,R001,Meeting,2023-08-27,120,No Response,
A001080,D00674,R002,Meeting,2023-03-25,30,Neutral,Champion confirmed
A001081,D01035,R004,Call,2023-05-16,60,Neutral,Stakeholder meeting set
A001082,D00206,R004,Email,2023-10-31,120,Neutral,Decision deferred
A001083,D00247,R005,Meeting,2024-09-28,30,Neutral,Decision deferred
A001084,D00758,R003,Meeting,2024-09-25,60,Neutral,Follow up scheduled
A001085,D01151,R001,Follow-up,2024-02-04,120,Positive,Awaiting legal review
A001086,D00147,R001,Meeting,2023-09-16,45,Positive,Follow up scheduled
A001087,D00118,R005,Demo,2024-07-24,90,Neutral,Stakeholder meeting set
A001088,D00412,R002,Proposal Sent,2023-04-09,15,Positive,Stakeholder meeting set
A001089,D00363,R002,Meeting,2023-10-01,60,Neutral,Awaiting legal review
A001090,D00137,R002,Proposal Sent,2023-02-11,60,Positive,Follow up scheduled
A001091,D01199,R004,Call,2023-06-05,90,Positive,Follow up scheduled
A001092,D00958,R003,Email,2024-12-01,15,No Response,Budget approved
A001093,D00019,R005,Meeting,2023-06-07,15,No Response,Awaiting legal review
A001094,D00195,R002,Meeting,2024-08-23,90,Neutral,Sent pricing deck
A001095,D00330,R004,Call,2024-01-22,90,No Response,Stakeholder meeting set
A001096,D00175,R005,Meeting,2023-11-14,45,Negative,
A001097,D01002,R005,Follow-up,2023-06-26,15,Negative,Budget approved
A001098,D00449,R002,Meeting,2023-03-15,15,Positive,Stakeholder meeting set
A001099,D00946,R003,Email,2024-07-06,15,Negative,Decision deferred
A001100,D00141,R005,Demo,2023-07-12,90,Negative,Decision deferred
A001101,D00758,R003,Meeting,2024-10-07,90,Negative,
A001102,D00930,R003,Follow-up,2023-04-06,60,No Response,Champion confirmed
A001103,D00093,R005,Email,2024-04-16,30,Neutral,Follow up scheduled
A001104,D00239,R004,Email,2024-02-13,120,No Response,Stakeholder meeting set
A001105,D00205,R003,Email,2023-07-23,15,Neutral,Awaiting legal review
A001106,D00560,R001,Follow-up,2023-10-18,15,Neutral,Decision deferred
A001107,D00245,R005,Email,2024-05-17,60,Neutral,Stakeholder meeting set
A001108,D00832,R002,Call,2024-11-05,30,Positive,Champion confirmed
A001109,D00925,R001,Proposal Sent,2023-05-26,30,Negative,Follow up scheduled
A001110,D00295,R004,Call,2024-10-27,15,Positive,
A001111,D00640,R003,Call,2023-11-24,15,No Response,Budget approved
A001112,D00856,R003,Call,2023-06-23,60,Neutral,Awaiting legal review
A001113,D00017,R005,Demo,2024-12-05,120,Negative,
A001114,D00071,R003,Call,2023-12-26,60,No Response,Budget approved
A001115,D00305,R004,Follow-up,2023-02-14,45,Neutral,Sent pricing deck
A001116,D01031,R002,Follow-up,2023-08-19,45,Positive,Stakeholder meeting set
A001117,D00817,R004,Meeting,2024-01-16,120,Negative,
A001118,D01127,R005,Email,2024-03-24,120,Positive,
A001119,D00821,R003,Call,2024-05-31,45,Neutral,Budget approved
A001120,D00193,R004,Demo,2024-04-10,30,Positive,Sent pricing deck
A001121,D00529,R004,Meeting,2023-08-10,120,Neutral,Awaiting legal review
A001122,D00171,R002,Proposal Sent,2023-02-22,30,Neutral,Budget approved
A001123,D00251,R002,Call,2024-06-26,45,Neutral,Champion confirmed
A001124,D00541,R005,Demo,2024-01-24,120,Neutral,Awaiting legal review
A001125,D00416,R001,Meeting,2024-11-09,60,Positive,Awaiting legal review
A001126,D00794,R002,Demo,2024-02-29,90,Positive,Decision deferred
A001127,D01168,R002,Follow-up,2023-09-01,60,Neutral,
A001128,D00025,R002,Proposal Sent,2023-01-01,90,Positive,Decision deferred
A001129,D00668,R003,Follow-up,2024-10-27,60,Negative,Champion confirmed
A001130,D01097,R002,Follow-up,2024-07-05,45,Positive,Awaiting legal review
A001131,D00632,R002,Follow-up,2023-04-20,45,No Response,Follow up scheduled
A001132,D01117,R005,Email,2023-02-27,120,Negative,Stakeholder meeting set
A001133,D00505,R003,Email,2024-05-06,45,No Response,Follow up scheduled
A001134,D00336,R001,Call,2023-04-14,90,Positive,
A001135,D00425,R001,Follow-up,2024-12-06,15,Positive,Champion confirmed
A001136,D00499,R003,Call,2024-09-12,90,Negative,Follow up scheduled
A001137,D00947,R005,Meeting,2024-11-14,60,Positive,
A001138,D00630,R004,Call,2024-04-23,90,Positive,Stakeholder meeting set
A001139,D00718,R003,Call,2024-12-22,90,No Response,Sent pricing deck
A001140,D00339,R004,Call,2024-05-02,45,Neutral,Stakeholder meeting set
A001141,D00659,R005,Demo,2023-12-04,15,Neutral,Follow up scheduled
A001142,D00962,R001,Demo,2023-08-08,15,Neutral,Sent pricing deck
A001143,D00429,R003,Call,2024-02-18,45,Positive,Sent pricing deck
A001144,D00899,R001,Meeting,2023-08-14,90,Positive,Champion confirmed
A001145,D00139,R001,Meeting,2024-11-30,90,No Response,Stakeholder meeting set
A001146,D00942,R004,Email,2023-10-12,120,Negative,Sent pricing deck
A001147,D00542,R004,Call,2024-09-26,30,Neutral,Follow up scheduled
A001148,D00057,R005,Call,2023-04-18,60,Positive,
A001149,D00658,R005,Call,2024-11-20,90,Neutral,Awaiting legal review
A001150,D00435,R004,Call,2023-08-14,120,Positive,Follow up scheduled
A001151,D00384,R003,Demo,2024-03-28,60,Positive,Champion confirmed
A001152,D00560,R001,Follow-up,2023-09-12,120,Positive,Budget approved
A001153,D00194,R005,Email,2023-11-24,45,Neutral,Awaiting legal review
A001154,D00534,R004,Proposal Sent,2023-01-25,120,Positive,Champion confirmed
A001155,D00518,R005,Email,2024-12-14,15,Neutral,Budget approved
A001156,D00716,R005,Demo,2023-05-29,45,Negative,Champion confirmed
A001157,D00751,R002,Meeting,2024-05-07,120,Positive,Awaiting legal review
A001158,D00185,R003,Meeting,2024-09-23,30,Neutral,Sent pricing deck
A001159,D00292,R001,Meeting,2023-10-22,30,Positive,Budget approved
A001160,D00732,R002,Email,2024-11-24,30,Negative,Stakeholder meeting set
A001161,D00116,R005,Meeting,2024-06-03,45,No Response,Decision deferred
A001162,D00825,R002,Meeting,2023-06-14,45,No Response,Decision deferred
A001163,D01073,R003,Meeting,2024-03-08,15,Neutral,Sent pricing deck
A001164,D00685,R002,Follow-up,2023-03-09,60,Positive,Follow up scheduled
A001165,D00082,R002,Proposal Sent,2023-07-20,15,Neutral,Champion confirmed
A001166,D00834,R002,Proposal Sent,2024-01-08,60,Positive,Champion confirmed
A001167,D00333,R004,Proposal Sent,2024-07-17,90,Positive,Sent pricing deck
A001168,D00557,R003,Follow-up,2024-08-12,60,No Response,Budget approved
A001169,D00335,R001,Email,2024-07-28,120,Positive,Decision deferred
A001170,D00532,R004,Call,2024-01-13,120,Negative,Awaiting legal review
A001171,D00221,R002,Call,2024-07-14,120,Negative,Decision deferred
A001172,D00635,R005,Call,2023-06-17,45,Negative,Follow up scheduled
A001173,D00323,R004,Proposal Sent,2024-01-16,45,No Response,Sent pricing deck
A001174,D00003,R002,Demo,2023-07-27,120,Positive,Decision deferred
A001175,D00206,R004,Proposal Sent,2023-12-14,30,Neutral,Stakeholder meeting set
A001176,D00040,R005,Follow-up,2024-05-22,30,Neutral,Champion confirmed
A001177,D00059,R004,Call,2024-10-15,45,Positive,Stakeholder meeting set
A001178,D00951,R005,Demo,2024-02-27,60,Positive,Decision deferred
A001179,D00574,R005,Proposal Sent,2024-10-26,15,Positive,Stakeholder meeting set
A001180,D00644,R004,Proposal Sent,2023-05-25,15,Negative,Budget approved
A001181,D00843,R002,Email,2024-12-14,90,No Response,Champion confirmed
A001182,D01146,R004,Demo,2024-07-21,30,Neutral,Stakeholder meeting set
A001183,D00619,R004,Email,2024-01-14,15,Neutral,Decision deferred
A001184,D00096,R004,Proposal Sent,2023-09-15,60,Neutral,Sent pricing deck
A001185,D00898,R005,Email,2023-04-07,60,Positive,Sent pricing deck
A001186,D01086,R005,Meeting,2024-02-26,90,Positive,Stakeholder meeting set
A001187,D00561,R001,Meeting,2024-11-02,30,No Response,Sent pricing deck
A001188,D00905,R002,Meeting,2023-10-30,30,Neutral,Sent pricing deck
A001189,D00348,R003,Email,2024-10-22,120,Neutral,Champion confirmed
A001190,D00671,R004,Proposal Sent,2024-10-07,30,Positive,Champion confirmed
A001191,D01148,R004,Proposal Sent,2024-04-13,15,Negative,
A001192,D00317,R001,Follow-up,2024-11-04,60,Neutral,
A001193,D00719,R002,Email,2024-10-25,45,Positive,
A001194,D01072,R004,Email,2023-05-26,60,Neutral,Stakeholder meeting set
A001195,D01160,R001,Proposal Sent,2024-09-16,120,Neutral,Sent pricing deck
A001196,D00250,R001,Call,2023-06-02,15,Positive,Stakeholder meeting set
A001197,D00314,R002,Email,2024-06-28,30,Positive,Awaiting legal review
A001198,D00807,R003,Proposal Sent,2024-11-15,30,Neutral,Follow up scheduled
A001199,D00485,R003,Follow-up,2024-11-27,45,Neutral,Follow up scheduled
A001200,D00044,R005,Proposal Sent,2024-06-10,45,Neutral,
A001201,D00571,R003,Meeting,2024-07-14,15,Positive,Follow up scheduled
A001202,D00583,R003,Email,2024-11-30,90,Negative,Champion confirmed
A001203,D01116,R004,Meeting,2024-05-09,120,Neutral,Stakeholder meeting set
A001204,D00895,R002,Follow-up,2023-11-28,15,Neutral,Decision deferred
A001205,D00220,R005,Meeting,2023-10-02,90,Neutral,Follow up scheduled
A001206,D00925,R001,Call,2023-04-13,90,Neutral,
A001207,D00401,R004,Email,2023-05-10,15,No Response,Stakeholder meeting set
A001208,D00727,R003,Call,2024-12-26,30,Positive,Follow up scheduled
A001209,D00991,R002,Proposal Sent,2024-01-05,45,Positive,Follow up scheduled
A001210,D00899,R001,Call,2023-08-09,90,Neutral,Decision deferred
A001211,D00858,R002,Call,2024-10-13,30,Positive,Champion confirmed
A001212,D00804,R002,Follow-up,2023-06-17,15,No Response,Awaiting legal review
A001213,D00490,R005,Email,2024-02-27,120,Negative,Awaiting legal review
A001214,D00938,R001,Meeting,2024-05-08,15,Positive,Sent pricing deck
A001215,D00844,R001,Follow-up,2024-12-06,60,No Response,Awaiting legal review
A001216,D00267,R005,Meeting,2024-12-31,120,Neutral,Budget approved
A001217,D00054,R001,Meeting,2023-07-17,60,Neutral,Follow up scheduled
A001218,D00528,R002,Email,2024-02-20,45,Positive,Budget approved
A001219,D00616,R003,Follow-up,2024-06-27,15,Negative,
A001220,D01083,R001,Email,2023-08-29,60,Positive,Champion confirmed
A001221,D01064,R001,Proposal Sent,2024-08-10,45,No Response,Follow up scheduled
A001222,D00955,R003,Follow-up,2023-08-09,120,Neutral,Stakeholder meeting set
A001223,D00386,R005,Call,2023-12-10,30,Neutral,Stakeholder meeting set
A001224,D00734,R003,Email,2023-06-10,90,Negative,Budget approved
A001225,D00716,R005,Follow-up,2023-07-26,45,Positive,Stakeholder meeting set
A001226,D00650,R002,Proposal Sent,2024-08-05,60,Positive,Awaiting legal review
A001227,D00300,R002,Demo,2024-08-08,60,Negative,Decision deferred
A001228,D00395,R003,Meeting,2023-10-20,60,Positive,
A001229,D00593,R001,Follow-up,2023-06-20,120,Negative,Awaiting legal review
A001230,D00514,R001,Call,2024-03-22,60,Positive,Stakeholder meeting set
A001231,D00396,R005,Email,2024-08-31,30,Negative,Awaiting legal review
A001232,D00371,R001,Meeting,2024-08-05,90,Positive,Follow up scheduled
A001233,D00858,R002,Demo,2024-10-14,60,Positive,Sent pricing deck
A001234,D00791,R003,Proposal Sent,2024-11-13,90,Neutral,Budget approved
A001235,D00658,R005,Call,2024-10-23,120,Positive,Budget approved
A001236,D00736,R005,Meeting,2023-05-26,15,Positive,Awaiting legal review
A001237,D00384,R003,Meeting,2024-05-13,30,Neutral,Champion confirmed
A001238,D00062,R005,Call,2024-09-06,15,Positive,Sent pricing deck
A001239,D00505,R003,Meeting,2024-02-03,60,Negative,Budget approved
A001240,D00239,R004,Follow-up,2024-02-20,120,Positive,Decision deferred
A001241,D00195,R002,Proposal Sent,2024-08-18,30,Positive,Awaiting legal review
A001242,D00678,R005,Follow-up,2024-01-25,60,Positive,Awaiting legal review
A001243,D00061,R003,Meeting,2024-03-09,15,Negative,Awaiting legal review
A001244,D01153,R003,Meeting,2024-06-14,90,No Response,Awaiting legal review
A001245,D00990,R002,Proposal Sent,2023-11-03,60,No Response,Champion confirmed
A001246,D00685,R002,Proposal Sent,2023-02-20,90,Negative,Champion confirmed
A001247,D00156,R001,Email,2023-02-09,45,Neutral,
A001248,D00923,R001,Proposal Sent,2023-11-05,120,Positive,Champion confirmed
A001249,D00868,R005,Demo,2024-12-18,90,No Response,Decision deferred
A001250,D00903,R003,Follow-up,2023-10-20,90,Positive,Decision deferred
A001251,D00999,R002,Email,2024-12-26,60,Positive,Champion confirmed
A001252,D00975,R004,Email,2023-07-12,15,No Response,Follow up scheduled
A001253,D00388,R003,Follow-up,2023-06-02,120,Positive,Sent pricing deck
A001254,D00887,R003,Proposal Sent,2024-09-28,60,Positive,Decision deferred
A001255,D00838,R004,Meeting,2023-06-12,15,Neutral,Follow up scheduled
A001256,D00340,R003,Proposal Sent,2023-11-05,15,Neutral,Awaiting legal review
A001257,D00204,R005,Email,2023-07-22,60,Positive,
A001258,D00161,R004,Proposal Sent,2024-06-14,120,Negative,Budget approved
A001259,D00392,R002,Proposal Sent,2024-11-23,60,No Response,
A001260,D00769,R001,Proposal Sent,2023-05-27,15,Positive,Decision deferred
A001261,D00575,R002,Meeting,2024-10-03,15,Positive,Awaiting legal review
A001262,D00534,R004,Demo,2023-05-01,60,Positive,Sent pricing deck
A001263,D01094,R004,Proposal Sent,2023-11-12,90,Neutral,Follow up scheduled
A001264,D00893,R001,Email,2024-10-01,60,Positive,Stakeholder meeting set
A001265,D00405,R001,Call,2023-08-03,15,No Response,Champion confirmed
A001266,D00608,R003,Email,2024-12-25,30,Neutral,Stakeholder meeting set
A001267,D00828,R002,Demo,2023-05-22,60,Negative,Awaiting legal review
A001268,D01144,R004,Meeting,2023-01-29,90,Positive,Awaiting legal review
A001269,D00690,R001,Meeting,2023-04-29,90,Neutral,Sent pricing deck
A001270,D00902,R005,Call,2024-11-28,90,No Response,Follow up scheduled
A001271,D00056,R004,Proposal Sent,2024-06-23,30,Neutral,Sent pricing deck
A001272,D00366,R002,Call,2024-08-09,120,Negative,
A001273,D00455,R002,Meeting,2024-03-18,60,Positive,Decision deferred
A001274,D00104,R001,Meeting,2024-07-05,30,Negative,Champion confirmed
A001275,D00077,R003,Email,2024-09-26,30,Positive,Stakeholder meeting set
A001276,D00230,R001,Proposal Sent,2024-02-16,15,Negative,Follow up scheduled
A001277,D00331,R001,Follow-up,2024-12-22,90,Negative,Champion confirmed
A001278,D00893,R001,Follow-up,2024-10-06,30,Neutral,Budget approved
A001279,D00688,R002,Proposal Sent,2023-07-06,45,Neutral,Stakeholder meeting set
A001280,D00027,R001,Meeting,2023-10-11,30,Neutral,Sent pricing deck
A001281,D00299,R002,Meeting,2024-08-02,45,No Response,Champion confirmed
A001282,D00957,R004,Follow-up,2024-12-23,30,Positive,Stakeholder meeting set
A001283,D00799,R004,Demo,2023-05-08,15,Neutral,Budget approved
A001284,D01115,R003,Proposal Sent,2024-06-16,120,Negative,Stakeholder meeting set
A001285,D00480,R003,Email,2023-08-01,120,Negative,Budget approved
A001286,D00573,R005,Meeting,2023-12-21,60,No Response,Sent pricing deck
A001287,D00458,R001,Follow-up,2024-10-04,30,Negative,Awaiting legal review
A001288,D00365,R005,Email,2024-02-26,15,Neutral,Awaiting legal review
A001289,D00859,R001,Proposal Sent,2024-06-01,90,Positive,Budget approved
A001290,D00351,R001,Call,2024-06-08,120,Negative,Budget approved
A001291,D00253,R001,Call,2023-10-30,15,Positive,Champion confirmed
A001292,D00781,R003,Email,2023-06-17,90,Positive,
A001293,D00803,R004,Meeting,2024-11-15,90,Neutral,Stakeholder meeting set
A001294,D01012,R003,Proposal Sent,2023-04-20,15,Neutral,Awaiting legal review
A001295,D00459,R002,Follow-up,2023-10-11,45,Positive,
A001296,D00917,R001,Follow-up,2023-08-26,45,No Response,Follow up scheduled
A001297,D00499,R003,Follow-up,2024-10-18,90,Neutral,Decision deferred
A001298,D00950,R002,Email,2024-05-10,60,Neutral,Champion confirmed
A001299,D00508,R004,Follow-up,2024-02-14,15,Neutral,Sent pricing deck
A001300,D00501,R001,Call,2023-06-11,30,No Response,
A001301,D00803,R004,Meeting,2024-09-24,60,Positive,Decision deferred
A001302,D00598,R005,Meeting,2023-10-09,120,Positive,Budget approved
A001303,D00166,R001,Follow-up,2024-10-22,30,Positive,Decision deferred
A001304,D00462,R005,Call,2024-07-10,120,No Response,Budget approved
A001305,D00920,R004,Follow-up,2024-09-28,90,Neutral,Champion confirmed
A001306,D00114,R002,Meeting,2024-10-24,120,No Response,Decision deferred
A001307,D00992,R001,Call,2024-09-26,60,Positive,Follow up scheduled
A001308,D00207,R002,Proposal Sent,2024-12-16,15,Neutral,Budget approved
A001309,D00515,R001,Demo,2023-09-22,30,Positive,Budget approved
A001310,D00709,R002,Follow-up,2023-10-04,120,Positive,Budget approved
